company_name,price_date,price_type,price
DBS,2023-07-06,Predicted,23.081260681152344
DBS,2023-07-07,Predicted,22.96223258972168
DBS,2023-07-10,Predicted,22.849336624145508
DBS,2023-07-11,Predicted,22.770957946777344
DBS,2023-07-12,Predicted,22.7479305267334
DBS,2023-07-13,Predicted,22.75547409057617
DBS,2023-07-14,Predicted,22.80952453613281
DBS,2023-07-17,Predicted,22.954036712646484
DBS,2023-07-18,Predicted,23.225032806396484
DBS,2023-07-19,Predicted,23.55583381652832
DBS,2023-07-20,Predicted,23.82488250732422
DBS,2023-07-21,Predicted,23.95087432861328
DBS,2023-07-24,Predicted,23.98147392272949
DBS,2023-07-25,Predicted,24.053199768066406
DBS,2023-07-26,Predicted,24.03766250610352
DBS,2023-07-27,Predicted,24.045976638793945
DBS,2023-07-28,Predicted,24.133337020874023
DBS,2023-07-31,Predicted,24.348154067993164
DBS,2023-08-01,Predicted,24.61282730102539
DBS,2023-08-02,Predicted,24.79029655456543
DBS,2023-08-03,Predicted,24.9576473236084
DBS,2023-08-04,Predicted,24.99205780029297
DBS,2023-08-07,Predicted,25.09445571899414
DBS,2023-08-08,Predicted,25.16740226745605
DBS,2023-08-09,Predicted,25.246458053588867
DBS,2023-08-10,Predicted,25.27712059020996
DBS,2023-08-11,Predicted,25.28087043762207
DBS,2023-08-14,Predicted,25.210073471069336
DBS,2023-08-15,Predicted,25.096874237060547
DBS,2023-08-16,Predicted,24.895387649536133
DBS,2023-08-17,Predicted,24.638296127319336
DBS,2023-08-18,Predicted,24.42556953430176
DBS,2023-08-21,Predicted,24.237892150878903
DBS,2023-08-22,Predicted,24.01739501953125
DBS,2023-08-23,Predicted,23.86400985717773
DBS,2023-08-24,Predicted,23.804149627685547
DBS,2023-08-25,Predicted,23.717914581298828
DBS,2023-08-28,Predicted,23.745826721191406
DBS,2023-08-29,Predicted,23.84327507019043
DBS,2023-08-30,Predicted,23.91502952575684
DBS,2023-08-31,Predicted,24.00914001464844
DBS,2023-09-01,Predicted,24.056060791015625
DBS,2023-09-05,Predicted,24.16963768005371
DBS,2023-09-06,Predicted,24.19422149658203
DBS,2023-09-07,Predicted,24.165040969848636
DBS,2023-09-08,Predicted,24.168081283569336
DBS,2023-09-11,Predicted,24.188108444213867
DBS,2023-09-12,Predicted,24.218416213989254
DBS,2023-09-13,Predicted,24.190793991088867
DBS,2023-09-14,Predicted,24.19241142272949
DBS,2023-09-15,Predicted,24.241613388061523
DBS,2023-09-18,Predicted,24.375919342041016
DBS,2023-09-19,Predicted,24.50592613220215
DBS,2023-09-20,Predicted,24.53781509399414
DBS,2023-09-21,Predicted,24.57592010498047
DBS,2023-09-22,Predicted,24.49283790588379
DBS,2023-09-25,Predicted,24.40439224243164
DBS,2023-09-26,Predicted,24.33300018310547
DBS,2023-09-27,Predicted,24.236549377441406
DBS,2023-09-28,Predicted,24.15282440185547
DBS,2023-09-29,Predicted,24.12664794921875
DBS,2023-10-02,Predicted,24.12482643127441
DBS,2023-10-03,Predicted,24.13650894165039
DBS,2023-10-04,Predicted,24.10809326171875
DBS,2023-10-05,Predicted,24.051597595214844
DBS,2023-10-06,Predicted,23.98093032836914
DBS,2023-10-09,Predicted,23.9637508392334
DBS,2023-10-10,Predicted,24.01536750793457
DBS,2023-10-11,Predicted,24.06034469604492
DBS,2023-10-12,Predicted,24.082258224487305
DBS,2023-10-13,Predicted,24.14859771728516
DBS,2023-10-16,Predicted,24.15780639648437
DBS,2023-10-17,Predicted,24.12958526611328
DBS,2023-10-18,Predicted,24.091907501220703
DBS,2023-10-19,Predicted,24.04672622680664
DBS,2023-10-20,Predicted,23.978137969970703
DBS,2023-10-23,Predicted,23.876033782958984
DBS,2023-10-24,Predicted,23.81996726989746
DBS,2023-10-25,Predicted,23.828651428222656
DBS,2023-10-26,Predicted,23.834753036499023
DBS,2023-10-27,Predicted,23.80956077575684
DBS,2023-10-30,Predicted,23.739049911499023
DBS,2023-10-31,Predicted,23.686769485473636
DBS,2023-11-01,Predicted,23.687410354614254
DBS,2023-11-02,Predicted,23.63529396057129
DBS,2023-11-03,Predicted,23.55793190002441
DBS,2023-11-06,Predicted,23.64498710632324
DBS,2023-11-07,Predicted,23.7536563873291
DBS,2023-11-08,Predicted,23.90669631958008
DBS,2023-11-09,Predicted,24.04855728149414
DBS,2023-11-10,Predicted,24.101694107055664
DBS,2023-11-13,Predicted,24.104576110839844
DBS,2023-11-14,Predicted,24.072301864624023
DBS,2023-11-15,Predicted,23.99358940124512
DBS,2023-11-16,Predicted,23.915809631347656
DBS,2023-11-17,Predicted,23.835702896118164
DBS,2023-11-20,Predicted,23.82805061340332
DBS,2023-11-21,Predicted,23.86644744873047
DBS,2023-11-22,Predicted,23.82904815673828
DBS,2023-11-24,Predicted,23.798933029174805
DBS,2023-11-27,Predicted,23.79460906982422
DBS,2023-11-28,Predicted,23.77619361877441
DBS,2023-11-29,Predicted,23.729761123657227
DBS,2023-11-30,Predicted,23.647336959838867
DBS,2023-12-01,Predicted,23.584836959838867
DBS,2023-12-04,Predicted,23.557035446166992
DBS,2023-12-05,Predicted,23.519153594970703
DBS,2023-12-06,Predicted,23.44223022460937
DBS,2023-12-07,Predicted,23.36881446838379
DBS,2023-12-08,Predicted,23.318941116333008
DBS,2023-12-11,Predicted,23.24481773376465
DBS,2023-12-12,Predicted,23.153526306152344
DBS,2023-12-13,Predicted,23.130062103271484
DBS,2023-12-14,Predicted,23.116878509521484
DBS,2023-12-15,Predicted,23.13158226013184
DBS,2023-12-18,Predicted,23.107858657836918
DBS,2023-12-19,Predicted,23.087963104248047
DBS,2023-12-20,Predicted,23.15660095214844
DBS,2023-12-21,Predicted,23.22127342224121
DBS,2023-12-22,Predicted,23.25710868835449
DBS,2023-12-26,Predicted,23.27887725830078
DBS,2023-12-27,Predicted,23.425600051879883
DBS,2023-12-28,Predicted,23.572769165039062
DBS,2023-12-29,Predicted,23.79278564453125
DBS,2024-01-02,Predicted,24.05429077148437
DBS,2024-01-03,Predicted,24.282712936401367
DBS,2024-01-04,Predicted,24.40744400024414
DBS,2024-01-05,Predicted,24.442970275878903
DBS,2024-01-08,Predicted,24.422046661376957
DBS,2024-01-09,Predicted,24.415956497192383
DBS,2024-01-10,Predicted,24.384031295776367
DBS,2024-01-11,Predicted,24.30240631103516
DBS,2024-01-12,Predicted,24.21291732788086
DBS,2024-01-16,Predicted,24.106449127197266
DBS,2024-01-17,Predicted,24.04160690307617
DBS,2024-01-18,Predicted,23.93980407714844
DBS,2024-01-19,Predicted,23.80412483215332
DBS,2024-01-22,Predicted,23.732023239135746
DBS,2024-01-23,Predicted,23.634843826293945
DBS,2024-01-24,Predicted,23.58653259277344
DBS,2024-01-25,Predicted,23.55023002624512
DBS,2024-01-26,Predicted,23.559324264526367
DBS,2024-01-29,Predicted,23.586435317993164
DBS,2024-01-30,Predicted,23.59701919555664
DBS,2024-01-31,Predicted,23.59165573120117
DBS,2024-02-01,Predicted,23.573570251464844
DBS,2024-02-02,Predicted,23.569849014282227
DBS,2024-02-05,Predicted,23.56911277770996
DBS,2024-02-06,Predicted,23.581499099731445
DBS,2024-02-07,Predicted,23.52687263488769
DBS,2024-02-08,Predicted,23.496341705322266
DBS,2024-02-09,Predicted,23.49474334716797
DBS,2024-02-12,Predicted,23.59151840209961
DBS,2024-02-13,Predicted,23.705284118652344
DBS,2024-02-14,Predicted,23.80172538757324
DBS,2024-02-15,Predicted,23.80814552307129
DBS,2024-02-16,Predicted,23.91139411926269
DBS,2024-02-20,Predicted,24.10404586791992
DBS,2024-02-21,Predicted,24.347375869750977
DBS,2024-02-22,Predicted,24.524681091308597
DBS,2024-02-23,Predicted,24.5994873046875
DBS,2024-02-26,Predicted,24.624250411987305
DBS,2024-02-27,Predicted,24.628662109375
DBS,2024-02-28,Predicted,24.648338317871094
DBS,2024-02-29,Predicted,24.67914390563965
DBS,2024-03-01,Predicted,24.6367244720459
DBS,2024-03-04,Predicted,24.657405853271484
DBS,2024-03-05,Predicted,24.720088958740234
DBS,2024-03-06,Predicted,24.693092346191406
DBS,2024-03-07,Predicted,24.729320526123047
DBS,2024-03-08,Predicted,24.7266902923584
DBS,2024-03-11,Predicted,24.71683120727539
DBS,2024-03-12,Predicted,24.692739486694336
DBS,2024-03-13,Predicted,24.63762092590332
DBS,2024-03-14,Predicted,24.626266479492188
DBS,2024-03-15,Predicted,24.723581314086918
DBS,2024-03-18,Predicted,24.97788619995117
DBS,2024-03-19,Predicted,25.148778915405277
DBS,2024-03-20,Predicted,25.333446502685547
DBS,2024-03-21,Predicted,25.46000099182129
DBS,2024-03-22,Predicted,25.556215286254883
DBS,2024-03-25,Predicted,25.6381950378418
DBS,2024-03-26,Predicted,25.74734115600586
DBS,2024-03-27,Predicted,25.89204978942871
DBS,2024-03-28,Predicted,26.04435539245605
DBS,2024-04-01,Predicted,26.184642791748047
DBS,2024-04-02,Predicted,26.30248641967773
DBS,2024-04-03,Predicted,26.403669357299805
