Company Name,Price Date,Price Type,Price
ANZ,2022-01-04,Actual,19.795
ANZ,2022-01-05,Actual,19.795
ANZ,2022-01-06,Actual,19.795
ANZ,2022-01-07,Actual,19.795
ANZ,2022-01-10,Actual,19.795
ANZ,2022-01-11,Actual,19.795
ANZ,2022-01-12,Actual,19.795
ANZ,2022-01-13,Actual,19.795
ANZ,2022-01-14,Actual,20.96
ANZ,2022-01-18,Actual,20.49
ANZ,2022-01-19,Actual,20.59
ANZ,2022-01-20,Actual,20.59
ANZ,2022-01-21,Actual,20.59
ANZ,2022-01-24,Actual,19.45
ANZ,2022-01-25,Actual,19.45
ANZ,2022-01-26,Actual,19.45
ANZ,2022-01-27,Actual,19.45
ANZ,2022-01-28,Actual,19.45
ANZ,2022-01-31,Actual,18.82
ANZ,2022-02-01,Actual,18.83
ANZ,2022-02-02,Actual,18.63
ANZ,2022-02-03,Actual,18.63
ANZ,2022-02-04,Actual,18.63
ANZ,2022-02-07,Actual,18.69
ANZ,2022-02-08,Actual,18.69
ANZ,2022-02-09,Actual,18.69
ANZ,2022-02-10,Actual,18.69
ANZ,2022-02-11,Actual,20.54
ANZ,2022-02-14,Actual,20.54
ANZ,2022-02-15,Actual,20.54
ANZ,2022-02-16,Actual,19.985
ANZ,2022-02-17,Actual,19.985
ANZ,2022-02-18,Actual,19.85
ANZ,2022-02-22,Actual,20.02
ANZ,2022-02-23,Actual,20.02
ANZ,2022-02-24,Actual,20.02
ANZ,2022-02-25,Actual,20.02
ANZ,2022-02-28,Actual,20.02
ANZ,2022-03-01,Actual,20.02
ANZ,2022-03-02,Actual,18.8495
ANZ,2022-03-03,Actual,18.8495
ANZ,2022-03-04,Actual,18.8495
ANZ,2022-03-07,Actual,18.39
ANZ,2022-03-08,Actual,18.39
ANZ,2022-03-09,Actual,18.39
ANZ,2022-03-10,Actual,19.05
ANZ,2022-03-11,Actual,19.05
ANZ,2022-03-14,Actual,19.05
ANZ,2022-03-15,Actual,19.05
ANZ,2022-03-16,Actual,19.74
ANZ,2022-03-17,Actual,19.74
ANZ,2022-03-18,Actual,19.74
ANZ,2022-03-21,Actual,19.74
ANZ,2022-03-22,Actual,20.55
ANZ,2022-03-23,Actual,20.55
ANZ,2022-03-24,Actual,20.55
ANZ,2022-03-25,Actual,20.55
ANZ,2022-03-28,Actual,20.8
ANZ,2022-03-29,Actual,20.8
ANZ,2022-03-30,Actual,20.8
ANZ,2022-03-31,Actual,20.8
ANZ,2022-04-01,Actual,20.8
ANZ,2022-04-04,Actual,21.01
ANZ,2022-04-05,Actual,21.01
ANZ,2022-04-06,Actual,21.01
ANZ,2022-04-07,Actual,21.01
ANZ,2022-04-08,Actual,20.535
ANZ,2022-04-11,Actual,20.535
ANZ,2022-04-12,Actual,20.535
ANZ,2022-04-13,Actual,20.535
ANZ,2022-04-14,Actual,20.535
ANZ,2022-04-18,Actual,20.145
ANZ,2022-04-19,Actual,20.145
ANZ,2022-04-20,Actual,20.145
ANZ,2022-04-21,Actual,20.145
ANZ,2022-04-22,Actual,20.145
ANZ,2022-04-25,Actual,20.145
ANZ,2022-04-26,Actual,20.145
ANZ,2022-04-27,Actual,20.145
ANZ,2022-04-28,Actual,20.145
ANZ,2022-04-29,Actual,20.145
ANZ,2022-05-02,Actual,20.145
ANZ,2022-05-03,Actual,20.145
ANZ,2022-05-04,Actual,19.65
ANZ,2022-05-05,Actual,19.65
ANZ,2022-05-06,Actual,19.65
ANZ,2022-05-09,Actual,19.65
ANZ,2022-05-10,Actual,19.65
ANZ,2022-05-11,Actual,17.7758
ANZ,2022-05-12,Actual,17.7758
ANZ,2022-05-13,Actual,17.7758
ANZ,2022-05-16,Actual,17.7758
ANZ,2022-05-17,Actual,17.7758
ANZ,2022-05-18,Actual,17.7758
ANZ,2022-05-19,Actual,17.85
ANZ,2022-05-20,Actual,17.85
ANZ,2022-05-23,Actual,17.85
ANZ,2022-05-24,Actual,17.85
ANZ,2022-05-25,Actual,17.85
ANZ,2022-05-26,Actual,17.85
ANZ,2022-05-27,Actual,17.85
ANZ,2022-05-31,Actual,17.85
ANZ,2022-06-01,Actual,17.85
ANZ,2022-06-02,Actual,17.85
ANZ,2022-06-03,Actual,17.85
ANZ,2022-06-06,Actual,17.85
ANZ,2022-06-07,Actual,17.7
ANZ,2022-06-08,Actual,17.3699
ANZ,2022-06-09,Actual,17.3699
ANZ,2022-06-10,Actual,17.3699
ANZ,2022-06-13,Actual,17.3699
ANZ,2022-06-14,Actual,17.3699
ANZ,2022-06-15,Actual,14.95
ANZ,2022-06-16,Actual,14.95
ANZ,2022-06-17,Actual,14.95
ANZ,2022-06-21,Actual,15.39
ANZ,2022-06-22,Actual,15.39
ANZ,2022-06-23,Actual,15.1
ANZ,2022-06-24,Actual,15.1
ANZ,2022-06-27,Actual,15.1
ANZ,2022-06-28,Actual,15.1
ANZ,2022-06-29,Actual,15.1
ANZ,2022-06-30,Actual,15.1
ANZ,2022-07-01,Actual,15.1
ANZ,2022-07-05,Actual,15.219
ANZ,2022-07-06,Actual,15.219
ANZ,2022-07-07,Actual,15.71
ANZ,2022-07-08,Actual,15.35
ANZ,2022-07-11,Actual,15.35
ANZ,2022-07-12,Actual,15.35
ANZ,2022-07-13,Actual,15.35
ANZ,2022-07-14,Actual,14.665
ANZ,2022-07-15,Actual,14.665
ANZ,2022-07-18,Actual,14.665
ANZ,2022-07-19,Actual,14.665
ANZ,2022-07-20,Actual,14.665
ANZ,2022-07-21,Actual,14.665
ANZ,2022-07-22,Actual,15.9
ANZ,2022-07-25,Actual,16.1
ANZ,2022-07-26,Actual,16.1
ANZ,2022-07-27,Actual,16.1
ANZ,2022-07-28,Actual,16.1
ANZ,2022-07-29,Actual,16.1
ANZ,2022-08-01,Actual,16.1
ANZ,2022-08-02,Actual,16.1
ANZ,2022-08-03,Actual,16.1
ANZ,2022-08-04,Actual,16.25
ANZ,2022-08-05,Actual,15.79
ANZ,2022-08-08,Actual,15.79
ANZ,2022-08-09,Actual,15.79
ANZ,2022-08-10,Actual,17.0
ANZ,2022-08-11,Actual,17.0
ANZ,2022-08-12,Actual,17.0
ANZ,2022-08-15,Actual,17.0
ANZ,2022-08-16,Actual,17.0
ANZ,2022-08-17,Actual,17.0
ANZ,2022-08-18,Actual,17.0
ANZ,2022-08-19,Actual,15.25
ANZ,2022-08-22,Actual,15.25
ANZ,2022-08-23,Actual,15.25
ANZ,2022-08-24,Actual,15.25
ANZ,2022-08-25,Actual,15.25
ANZ,2022-08-26,Actual,15.25
ANZ,2022-08-29,Actual,15.25
ANZ,2022-08-30,Actual,15.25
ANZ,2022-08-31,Actual,15.25
ANZ,2022-09-01,Actual,15.335
ANZ,2022-09-02,Actual,15.335
ANZ,2022-09-06,Actual,15.335
ANZ,2022-09-07,Actual,15.335
ANZ,2022-09-08,Actual,15.335
ANZ,2022-09-09,Actual,15.335
ANZ,2022-09-12,Actual,15.335
ANZ,2022-09-13,Actual,15.335
ANZ,2022-09-14,Actual,15.96
ANZ,2022-09-15,Actual,15.96
ANZ,2022-09-16,Actual,15.96
ANZ,2022-09-19,Actual,15.96
ANZ,2022-09-20,Actual,15.85
ANZ,2022-09-21,Actual,15.85
ANZ,2022-09-22,Actual,15.85
ANZ,2022-09-23,Actual,15.85
ANZ,2022-09-26,Actual,15.85
ANZ,2022-09-27,Actual,15.85
ANZ,2022-09-28,Actual,15.85
ANZ,2022-09-29,Actual,15.85
ANZ,2022-09-30,Actual,15.85
